,Player,Age,GS,3PA,2PA,FTA,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%,SRS,TS%
16,PJ Dozier,25,-0.7879095998409111,0.0062656784764614755,-0.3716024261322729,-0.5805240158388689,0.021992131293869545,-0.14628934036809985,-0.016339341455174267,-0.18540884027065505,-0.38298028684933133,0.24885978154587032,-0.4485059730319719,0.615037631779297,0.4753083643037423,-0.4963874463088931
17,Petr Cornelie,26,-0.7879095998409111,-0.9193790313308587,-1.0621536760829384,-0.8292172568248956,-0.9759008261654744,-0.9097340186908397,-1.2218639244284024,-0.7182941056566249,-0.8674613606472296,-1.3808506113419488,-1.1275028822746815,0.615037631779297,0.4753083643037423,-0.8861217632257901
18,Vlatko Cancar,24,-0.7491546967593053,-0.8312223923015901,-0.6418181326347072,-0.45617739534585555,-0.5601120938907478,-0.41894815405479263,-1.2218639244284024,-0.45185147296363987,-0.5041005552988058,-0.5033142459408154,-0.6537841083844191,0.615037631779297,0.4753083643037423,0.983169017066144
19,Will Barton,31,1.9636885189531,1.5049285419740273,0.7693083346557831,0.10338239687270452,0.5625174832510141,1.107941202590687,0.46587049173411715,0.08103379242232991,0.9493426660948893,-0.0018648942830248399,1.0200222260278415,0.615037631779297,0.4753083643037423,0.1333233838025244
20,Zeke Nnaji,21,-0.7491546967593053,-0.30228255812597865,-0.43165036091059156,-0.02096422362030881,0.06357100452134225,-0.8006704932161625,-0.4985491746444654,-0.18540884027065505,-0.5041005552988058,0.3742221194603178,-0.2590184634758671,0.615037631779297,0.4753083643037423,0.7730348164156966
21,Aaron Henry,22,-0.7879095998409111,-1.0956923093893958,-1.0021057413046195,-1.0157371875644157,-1.3501106852127283,-1.0187975441655168,-1.462968841023048,-0.18540884027065505,-0.8674613606472296,-1.6315752871708438,-1.2538278886454182,0.8781248532613855,0.5627208702465522,-2.5767659622908767
22,Charles Bassey,21,-0.7879095998409111,-1.0956923093893958,-0.6418181326347072,-0.7048706363318823,-0.3106388545259117,-0.8552022559535011,-0.9807590078337567,0.8803616905012844,-0.8674613606472296,-0.2525895701119203,-0.8274809921441819,0.8781248532613855,0.5627208702465522,1.0846541557509959
23,Charlie Brown Jr.,24,-0.7103997936776996,-0.963457350845493,-0.8519859043588227,-0.7048706363318823,-0.8095853332555838,-0.8552022559535011,-0.25744425804981985,-0.45185147296363987,-0.9885816290967042,-1.0047635975986058,-1.0801310048856552,0.8781248532613855,0.5627208702465522,-1.383972653083293
24,Danny Green,34,0.297227686444051,0.7555971102252446,-0.9720817739154604,-0.8913905670714023,-0.3937966009808571,-0.47347991679213125,0.9480803249234083,0.6139190578082996,-0.38298028684933133,0.12349744363142261,-0.3695528440502615,0.8781248532613855,0.5627208702465522,0.2010633530889378
25,DeAndre Jordan,33,-0.012811538208795329,-1.1838489484186645,-0.31155449135395413,-0.5183507055923622,0.8535695958433228,-0.8006704932161625,-0.7396540912391111,0.8803616905012844,-0.2618600183998566,-0.12722723219747256,-0.6222028567917349,0.8781248532613855,0.5627208702465522,0.8276402488268159
26,Furkan Korkmaz,24,-0.05156644129040112,0.5792838321667072,-0.31155449135395413,-0.20748415435982887,-0.3522177277533844,0.01730594784391574,-0.25744425804981985,-0.7182941056566249,-0.38298028684933133,-0.8794012596841582,-0.10111220551244626,0.8781248532613855,0.5627208702465522,-0.21908304942223714
27,Georges Niang,28,-0.5166252782696706,1.0641453468276842,-0.5217222630780698,-0.5183507055923622,-0.3106388545259117,-0.3098846285801155,-0.4985491746444654,-0.45185147296363987,-0.2618600183998566,1.1263961469470036,0.151537807229027,0.8781248532613855,0.5627208702465522,0.4675336999192552
28,Isaiah Joe,22,-0.7491546967593053,-0.08189096055280719,-0.9720817739154604,-0.6426973260853757,-1.0174796993929471,-0.6916069677414856,-0.7396540912391111,-0.7182941056566249,-0.8674613606472296,-0.8794012596841582,-0.7327372373661295,0.8781248532613855,0.5627208702465522,-0.08571755462782807
29,Jaden Springer,19,-0.7879095998409111,-1.1838489484186645,-1.0621536760829384,-1.0157371875644157,-1.0174796993929471,-1.0187975441655168,-1.462968841023048,1.6796895885802392,-0.6252208237482805,-2.0076623009141867,-1.1432935080710236,0.8781248532613855,0.5627208702465522,3.517154718602344
30,James Harden,32,1.731159100463465,1.8575550980911018,1.3097397476606518,4.082474252649131,1.7683048068477216,4.597974017780356,1.6713950747073454,0.6139190578082996,4.098469645781229,1.001033809032556,2.1727379091608134,0.8781248532613855,0.5627208702465522,0.3802993545234129
31,Joel Embiid,27,1.8474238097082825,0.4470488736228044,3.5615373018476046,6.320713421523372,3.4314597359466275,1.2715364908027025,1.1891852415180542,3.011902752045164,2.523906155938059,1.377120822775899,3.5307317276462324,0.8781248532613855,0.5627208702465522,0.645583487036903
32,Matisse Thybulle,24,1.1498355542393783,-0.21412591909671,-0.4916982956889104,-0.5805240158388689,-0.4769543474358025,-0.41894815405479263,2.635814741085928,1.9461322212732244,-0.5041005552988058,1.001033809032556,-0.4011340956429457,0.8781248532613855,0.5627208702465522,0.46278464483070053
33,Myles Powell,24,-0.7879095998409111,-0.963457350845493,-0.9120338391371415,-0.8913905670714023,-1.2253740655303105,-0.8552022559535011,-1.2218639244284024,-0.9847367383496097,-0.8674613606472296,-1.1301259355130535,-1.1117122564783395,0.8781248532613855,0.5627208702465522,-1.1492228304947323
34,Paul Millsap,36,-0.7491546967593053,-0.6989874337576872,-0.4916982956889104,-0.5805240158388689,0.021992131293869545,-0.5280116795294698,-0.7396540912391111,0.08103379242232991,-0.5041005552988058,0.4995844573747655,-0.7485278631624716,0.8781248532613855,0.5627208702465522,-0.53626763475197
35,Paul Reed,22,-0.7103997936776996,-1.0956923093893958,-0.5217222630780698,-0.7670439465783889,-0.43537547420832984,-0.8006704932161625,0.7069754083287627,0.08103379242232991,-0.8674613606472296,-0.12722723219747256,-0.81169036634784,0.8781248532613855,0.5627208702465522,0.3612367300151219
36,Shake Milton,25,-0.5553801813512764,-0.1259692800674415,0.25890088904007397,-0.20748415435982887,-0.3522177277533844,0.34449652426794714,-0.25744425804981985,-0.18540884027065505,-0.2618600183998566,0.24885978154587032,-0.006368450734393831,0.8781248532613855,0.5627208702465522,-0.07669593936032519
37,Tobias Harris,29,2.0411983251163113,0.4911271931374385,1.8501711606655202,0.7251154993377711,1.3940949478004674,0.8898141516413327,-0.016339341455174267,0.6139190578082996,0.7071021291959402,0.750309133203661,1.4147878709363935,0.8781248532613855,0.5627208702465522,0.2515695573479936
38,Tyrese Maxey,21,2.079953228197917,0.6233621516813413,1.5199075193847673,1.0359820505703046,-0.10274448838854838,1.326068253540041,0.22476557513947132,0.08103379242232991,0.22262105539804164,0.6249467952892133,1.4621597483254198,0.8781248532613855,0.5627208702465522,0.4656185992363245
39,Willie Cauley-Stein,28,-0.7103997936776996,-1.1397706289040301,-0.7018660674130259,-0.9535638773179089,-0.6016909671182205,-0.7461387304788241,-0.7396540912391111,-0.45185147296363987,-0.746341092197755,-0.7540389217697107,-1.032759127496629,0.8781248532613855,0.5627208702465522,-0.5258001666356749
40,Aaron Holiday,25,-0.20658605361682428,-0.4785958361845158,-0.10138671962983849,-0.3318307748528422,-0.6432698403456931,0.2899647615306085,0.22476557513947132,-0.7182941056566249,0.1015007869485672,-0.12722723219747256,-0.3063903408648933,2.0015783936443565,1.4944102628565021,0.03218287494558151
41,Abdel Nader,28,-0.7879095998409111,-0.7430657532723216,-0.7619140021913446,-0.5805240158388689,-0.6432698403456931,-0.7461387304788241,-0.016339341455174267,-0.18540884027065505,-0.2618600183998566,-0.2525895701119203,-0.9222247469222343,2.0015783936443565,1.4944102628565021,-0.7778373720732196
42,Bismack Biyombo,29,-0.6716448905960938,-1.1838489484186645,-0.011314817462360438,0.22772901736571782,0.4793597367960687,-0.6916069677414856,-0.7396540912391111,0.8803616905012844,-0.38298028684933133,0.3742221194603178,-0.3853434698466037,2.0015783936443565,1.4944102628565021,0.47403669888769695
43,Cameron Johnson,25,-0.1678311505352185,1.416771902944759,-0.22148258918647606,0.04120908662619779,0.2714653706587054,-0.20082110310543844,0.7069754083287627,-0.45185147296363987,-0.38298028684933133,0.12349744363142261,0.6726284585083158,2.0015783936443565,1.4944102628565021,0.7290790416430016
44,Cameron Payne,27,-0.32285076286164166,0.40297055410817006,0.7392843672666238,-0.08313753386681554,-0.18590223484349377,1.6532588299640725,0.22476557513947132,-0.18540884027065505,0.9493426660948893,0.6249467952892133,0.4041878199705005,2.0015783936443565,1.4944102628565021,-0.21900940488494902
45,Chandler Hutchison,25,-0.7879095998409111,-1.1838489484186645,-1.1222016108612571,-0.8292172568248956,-1.1006374458478925,-0.8552022559535011,-1.462968841023048,-0.9847367383496097,-0.38298028684933133,-1.7569376250852915,-1.1906653854600497,2.0015783936443565,1.4944102628565021,2.093503733322446
46,Chris Paul,36,1.731159100463465,0.18257895653499862,1.2797157802714927,0.9116354300772913,0.3962019903411237,4.870632831467048,3.1180245742752186,-0.18540884027065505,1.6760642767917366,0.6249467952892133,1.0200222260278415,2.0015783936443565,1.4944102628565021,0.3699566527812073
47,Deandre Ayton,23,1.4598747788922246,-1.0516139898747616,2.300530671502911,0.47642225835174445,2.8077766375345377,-0.25535286584277705,0.22476557513947132,0.8803616905012844,0.7071021291959402,1.001033809032556,1.4147878709363935,2.0015783936443565,1.4944102628565021,0.9573403752708771
48,Devin Booker,25,1.8474238097082825,1.901633417605736,2.961057954064417,2.279448255500438,0.6456752297059595,1.5987270672267337,1.1891852415180542,0.08103379242232991,1.6760642767917366,1.2517584848614514,2.9306879473852336,2.0015783936443565,1.4944102628565021,0.3429955675882444
49,Elfrid Payton,27,-0.7491546967593053,-1.0075356703601275,-0.2815305239647947,-0.6426973260853757,-0.6848487135731658,0.07183771058125435,-0.25744425804981985,-0.7182941056566249,-0.14073974995038205,-1.0047635975986058,-0.8274809921441819,2.0015783936443565,1.4944102628565021,-0.9941299773977386
50,Emanuel Terry,25,-0.7879095998409111,-1.1838489484186645,-0.7018660674130259,-1.0157371875644157,0.6456752297059595,-0.6370752050041469,-0.7396540912391111,-0.9847367383496097,0.8282223976454146,-0.37795190802636774,-1.3011997660344443,2.0015783936443565,1.4944102628565021,-3.9830553501893124
51,Frank Kaminsky,28,-0.7879095998409111,-0.43451751666988153,0.49909262815334887,0.3520756378587313,0.4793597367960687,-0.25535286584277705,0.7069754083287627,1.1468043231942695,-0.5041005552988058,-0.0018648942830248399,0.3726065683778162,2.0015783936443565,1.4944102628565021,0.8247716169848259
52,Gabriel Lundberg,27,-0.7879095998409111,-0.30228255812597865,-0.3716024261322729,-1.0157371875644157,-0.6848487135731658,0.5080918124799627,0.46587049173411715,-0.9847367383496097,-0.2618600183998566,0.24885978154587032,-0.7801091147551558,2.0015783936443565,1.4944102628565021,-1.4048581390421804
53,Ish Wainright,27,-0.7879095998409111,-0.6108307947284187,-0.9120338391371415,-0.8292172568248956,-0.9343219529380017,-0.8552022559535011,-0.4985491746444654,-0.7182941056566249,-0.8674613606472296,-0.6286765838552629,-0.9222247469222343,2.0015783936443565,1.4944102628565021,-0.28229380308816626
54,JaVale McGee,34,-0.1290762474536127,-1.1397706289040301,0.6191884977099862,0.22772901736571782,1.352516074572995,-0.6916069677414856,-0.7396540912391111,1.9461322212732244,0.3437413238475163,1.001033809032556,0.151537807229027,2.0015783936443565,1.4944102628565021,0.8899624911160003
55,Jae Crowder,31,1.8086689066266768,1.1963803053715873,-0.4016263935214322,-0.20748415435982887,0.7704118493883775,0.01730594784391574,1.9124999913019907,0.08103379242232991,-0.2618600183998566,1.2517584848614514,0.1831190588217113,2.0015783936443565,1.4944102628565021,0.081864774732365
56,Justin Jackson,26,-0.7879095998409111,-0.6108307947284187,-0.9420578065263009,-0.8292172568248956,-1.0174796993929471,-0.8552022559535011,-1.462968841023048,-0.9847367383496097,-1.1097018975461788,-1.506212949256396,-0.9695966243112607,2.0015783936443565,1.4944102628565021,-0.4547307210534527
57,Landry Shamet,24,-0.24534095669843006,0.9319103882837815,-0.551746230467229,-0.2696574646063356,-0.6848487135731658,-0.14628934036809985,-0.4985491746444654,-0.7182941056566249,-0.5041005552988058,-0.37795190802636774,0.009422175061948474,2.0015783936443565,1.4944102628565021,0.15162474883903204
58,M.J. Walker,23,-0.7879095998409111,-0.7430657532723216,-0.9120338391371415,-1.0157371875644157,-1.2253740655303105,-0.7461387304788241,0.9480803249234083,-0.9847367383496097,-1.2308221659956533,-1.3808506113419488,-1.3011997660344443,2.0015783936443565,1.4944102628565021,-3.9830553501893124
59,Mikal Bridges,25,2.3899924528507634,0.4911271931374385,0.7993323020449425,0.1655557071192111,0.3130442438861783,0.23543299879326993,1.4302901581126994,0.08103379242232991,-0.2618600183998566,0.24885978154587032,0.9410690970461311,2.0015783936443565,1.4944102628565021,0.7145003562698228
60,Paris Bass,26,-0.7879095998409111,-0.7430657532723216,-0.6117941652455479,-0.3940040850993489,-0.6016909671182205,-1.0187975441655168,-0.25744425804981985,-0.9847367383496097,-0.019619481500907487,-0.7540389217697107,-0.8274809921441819,2.0015783936443565,1.4944102628565021,-0.7126149132162064
61,Torrey Craig,31,-0.1678311505352185,0.13850063702036428,-0.4016263935214322,-0.5805240158388689,0.22988649743123288,-0.3644163913174541,-0.016339341455174267,0.34747642511531474,-0.14073974995038205,0.3742221194603178,-0.2590184634758671,2.0015783936443565,1.4944102628565021,0.13656735736935358
